,T1566,T1047,T1053,T1059,T1106,T1204,T1543,T1547,T1027,T1036,T1055,T1070,T1112,T1140,T1218,T1497,T1562,T1564,T1012,T1016,T1033,T1057,T1082,T1083,T1518,T1005,T1056,T1113,T1560,T1071,T1090,T1105,T1132,T1573,T1041
T1566,0,0,0,0.8201438848920863,0,0.935251798561151,0,0.5251798561151079,0.7194244604316546,0.5323741007194245,0,0,0,0,0,0,0,0,0,0,0,0,0.5323741007194245,0,0,0,0,0,0,0.5539568345323741,0,0.7338129496402876,0,0,0
T1047,0,0,0,0.8349514563106796,0,0,0,0,0.7087378640776699,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7087378640776699,0,0,0,0,0,0,0,0,0,0,0,0
T1053,0,0,0,0.8169934640522876,0,0,0,0,0.7189542483660131,0.5294117647058824,0,0.5098039215686274,0,0,0,0,0,0,0,0,0,0,0.5751633986928104,0,0,0,0,0,0,0.6666666666666666,0,0.7058823529411765,0,0,0
T1059,0,0,0,0,0,0,0,0,0.6210762331838565,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5538116591928252,0,0,0,0,0,0,0.5515695067264574,0,0.6704035874439462,0,0,0
T1106,0,0,0,0.7337278106508877,0,0,0,0,0.7751479289940828,0.5384615384615384,0,0.5739644970414202,0,0.5739644970414202,0,0,0,0,0,0,0,0.591715976331361,0.6627218934911243,0.5562130177514794,0,0,0,0,0,0.6272189349112427,0,0.7159763313609468,0,0,0
T1204,0.7831325301204819,0,0,0.7771084337349397,0,0,0,0.5120481927710844,0.7228915662650601,0.5421686746987951,0,0,0,0,0,0,0,0,0,0,0,0,0.5421686746987951,0,0,0,0,0,0,0.5783132530120482,0,0.7409638554216867,0,0,0
T1543,0,0,0,0.6785714285714287,0,0,0,0,0.692857142857143,0,0,0.5785714285714286,0,0,0,0,0,0,0,0,0,0,0.5928571428571429,0.5214285714285715,0,0,0,0,0,0.55,0,0.6285714285714286,0,0,0
T1547,0,0,0,0.7551020408163266,0,0,0,0,0.6816326530612244,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636734693877551,0,0,0,0,0,0,0.6448979591836734,0,0.710204081632653,0,0,0
T1027,0,0,0,0.7251308900523561,0,0,0,0,0,0,0,0.5130890052356021,0,0,0,0,0,0,0,0,0,0,0.5759162303664922,0,0,0,0,0,0,0.599476439790576,0,0.7068062827225132,0,0,0
T1036,0,0,0,0.7217391304347825,0,0,0,0,0.7434782608695653,0,0,0.5130434782608695,0,0,0,0,0,0,0,0,0,0,0.5739130434782608,0,0,0,0,0,0,0.6260869565217391,0,0.6739130434782609,0,0,0
T1055,0,0,0,0.7123287671232877,0,0,0,0.5342465753424657,0.7671232876712328,0,0,0.5410958904109588,0,0.5205479452054794,0,0,0,0,0,0,0,0.589041095890411,0.6438356164383562,0.5136986301369862,0,0,0,0,0,0.6369863013698629,0,0.7671232876712328,0,0,0
T1070,0,0,0,0.7553956834532374,0,0,0,0,0.7050359712230215,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6474820143884892,0.5611510791366906,0,0,0,0,0,0.6115107913669064,0,0.6906474820143884,0,0,0
T1112,0,0,0,0.7375886524822696,0,0,0,0,0.7021276595744681,0,0,0.5390070921985816,0,0,0,0,0,0,0,0,0,0,0.624113475177305,0.5319148936170213,0,0,0,0,0,0.5673758865248226,0,0.6808510638297872,0,0,0
T1140,0,0,0,0.7241379310344828,0,0,0,0,0.8232758620689655,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6077586206896551,0,0,0,0,0,0,0.6379310344827587,0,0.7241379310344828,0,0,0
T1218,0,0,0,0.8088235294117647,0,0,0,0.5882352941176471,0.7720588235294118,0,0,0.5367647058823529,0,0,0,0,0,0,0,0,0,0,0.6323529411764706,0,0,0,0,0,0,0.6176470588235294,0,0.7279411764705883,0,0,0
T1497,0,0,0,0,0,0,0,0,0.8260869565217391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7934782608695652,0,0,0
T1562,0,0,0,0.792079207920792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1564,0,0,0,0.7567567567567568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6756756756756758,0,0,0
T1012,0,0,0,0.7549019607843138,0,0,0,0,0.7352941176470589,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7450980392156863,0,0,0,0,0,0,0.7058823529411765,0,0,0,0,0
T1016,0,0,0,0.690677966101695,0,0,0,0,0.652542372881356,0,0,0.5084745762711864,0,0,0,0,0,0,0,0,0.5254237288135594,0.538135593220339,0.788135593220339,0.5296610169491526,0,0,0,0,0,0.614406779661017,0,0.6991525423728814,0,0,0
T1033,0,0,0,0.7360406091370558,0,0,0,0,0.6294416243654822,0,0,0.5532994923857868,0,0,0,0,0,0,0,0.6294416243654822,0,0.5482233502538071,0.8426395939086294,0,0,0,0,0,0,0.700507614213198,0,0.7715736040609137,0,0,0
T1057,0,0,0,0.7011952191235059,0,0,0,0,0.6573705179282868,0,0,0.5338645418326693,0,0,0,0,0,0,0,0.5059760956175299,0,0,0.7290836653386454,0.6374501992031872,0,0,0,0,0,0.5976095617529881,0,0.6613545816733067,0,0,0
T1082,0,0,0,0.7057142857142857,0,0,0,0,0.6285714285714286,0,0,0.5142857142857143,0,0,0,0,0,0,0,0.5314285714285714,0,0.5228571428571428,0,0.5599999999999999,0,0,0,0,0,0.5914285714285714,0,0.7114285714285714,0,0,0
T1083,0,0,0,0.6713286713286714,0,0,0,0,0.5979020979020979,0,0,0.5454545454545454,0,0,0,0,0,0,0,0,0,0.5594405594405594,0.6853146853146853,0,0,0,0,0,0,0.5944055944055944,0,0.6608391608391608,0,0,0
T1518,0,0,0,0.7401574803149606,0,0,0,0,0.7244094488188977,0,0,0,0,0,0,0,0,0,0,0,0,0.5826771653543308,0.8110236220472441,0,0,0,0,0,0,0.6220472440944882,0,0.7716535433070866,0,0,0
T1005,0,0,0,0.752808988764045,0,0,0,0,0.6179775280898877,0,0,0.5393258426966292,0,0,0,0,0,0,0,0,0,0,0.6235955056179775,0.6348314606741573,0,0,0,0,0,0.6573033707865169,0,0.752808988764045,0,0,0
T1056,0,0,0,0.7266666666666666,0,0,0,0.5533333333333333,0.6199999999999999,0,0,0.5533333333333333,0,0,0,0,0,0,0,0,0,0.5466666666666666,0.6533333333333333,0.5866666666666667,0,0,0,0.56,0,0.6066666666666666,0,0.6866666666666666,0,0,0
T1113,0,0,0,0.6965517241379311,0,0,0,0.5241379310344828,0.6068965517241379,0,0,0.5379310344827586,0,0,0,0,0,0,0,0,0,0.5655172413793104,0.6620689655172414,0.6206896551724138,0,0,0.5793103448275863,0,0,0.6068965517241379,0,0.7103448275862069,0,0,0
T1560,0,0,0,0.6612903225806451,0,0,0,0,0.6451612903225805,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6048387096774194,0.5887096774193549,0,0,0,0,0,0.6129032258064515,0,0.629032258064516,0,0,0
T1071,0,0,0,0.7048710601719198,0,0,0,0,0.6561604584527221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5931232091690545,0,0,0,0,0,0,0,0,0.7249283667621776,0,0,0
T1090,0,0,0,0.7300000000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1105,0,0,0,0.7170263788968825,0,0,0,0,0.6474820143884893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5971223021582734,0,0,0,0,0,0,0.6067146282973621,0,0,0,0,0
T1132,0,0,0,0.8181818181818182,0,0,0,0,0.6727272727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7181818181818181,0,0,0,0,0,0,0.8181818181818182,0,0.7545454545454545,0,0,0
T1573,0,0,0,0.7239583333333334,0,0,0,0,0.6354166666666666,0,0,0.5208333333333333,0,0,0,0,0,0,0,0.515625,0,0,0.6197916666666667,0,0,0,0,0,0,0.6927083333333334,0,0.71875,0,0,0
T1041,0,0,0,0.7816901408450703,0,0,0,0,0.6830985915492958,0,0,0.5633802816901408,0,0.5211267605633803,0,0,0,0,0,0.5211267605633803,0.5211267605633803,0.5140845070422535,0.7816901408450703,0.6267605633802816,0,0.5352112676056338,0,0,0,0.8028169014084506,0,0.7816901408450703,0,0,0
