,T1566,T1047,T1053,T1059,T1106,T1204,T1543,T1547,T1027,T1036,T1055,T1070,T1112,T1140,T1218,T1497,T1562,T1564,T1012,T1016,T1033,T1057,T1082,T1083,T1518,T1005,T1056,T1113,T1560,T1071,T1090,T1105,T1132,T1573,T1041
T1566, , , ,*, ,*, ,*,*,*, , , , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1047, , , ,*, , , , ,*, , , , , , , , , , , , , ,*, , , , , , , , , , , , 
T1053, , , ,*, , , , ,*,*, ,*, , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1059, , , , , , , , ,*, , , , , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1106, , , ,*, , , , ,*,*, ,*, ,*, , , , , , , ,*,*,*, , , , , ,*, ,*, , , 
T1204,*, , ,*, , , ,*,*,*, , , , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1543, , , ,*, , , , ,*, , ,*, , , , , , , , , , ,*,*, , , , , ,*, ,*, , , 
T1547, , , ,*, , , , ,*, , , , , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1027, , , ,*, , , , , , , ,*, , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1036, , , ,*, , , , ,*, , ,*, , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1055, , , ,*, , , ,*,*, , ,*, ,*, , , , , , , ,*,*,*, , , , , ,*, ,*, , , 
T1070, , , ,*, , , , ,*, , , , , , , , , , , , , ,*,*, , , , , ,*, ,*, , , 
T1112, , , ,*, , , , ,*, , ,*, , , , , , , , , , ,*,*, , , , , ,*, ,*, , , 
T1140, , , ,*, , , , ,*, , , , , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1218, , , ,*, , , ,*,*, , ,*, , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1497, , , , , , , , ,*, , , , , , , , , , , , , , , , , , , , , , ,*, , , 
T1562, , , ,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
T1564, , , ,*, , , , , , , , , , , , , , , , , , , , , , , , , , , ,*, , , 
T1012, , , ,*, , , , ,*, , , , , , , , , , , , , ,*, , , , , , ,*, , , , , 
T1016, , , ,*, , , , ,*, , ,*, , , , , , , , ,*,*,*,*, , , , , ,*, ,*, , , 
T1033, , , ,*, , , , ,*, , ,*, , , , , , , ,*, ,*,*, , , , , , ,*, ,*, , , 
T1057, , , ,*, , , , ,*, , ,*, , , , , , , ,*, , ,*,*, , , , , ,*, ,*, , , 
T1082, , , ,*, , , , ,*, , ,*, , , , , , , ,*, ,*, ,*, , , , , ,*, ,*, , , 
T1083, , , ,*, , , , ,*, , ,*, , , , , , , , , ,*,*, , , , , , ,*, ,*, , , 
T1518, , , ,*, , , , ,*, , , , , , , , , , , , ,*,*, , , , , , ,*, ,*, , , 
T1005, , , ,*, , , , ,*, , ,*, , , , , , , , , , ,*,*, , , , , ,*, ,*, , , 
T1056, , , ,*, , , ,*,*, , ,*, , , , , , , , , ,*,*,*, , , ,*, ,*, ,*, , , 
T1113, , , ,*, , , ,*,*, , ,*, , , , , , , , , ,*,*,*, , ,*, , ,*, ,*, , , 
T1560, , , ,*, , , , ,*, , , , , , , , , , , , , ,*,*, , , , , ,*, ,*, , , 
T1071, , , ,*, , , , ,*, , , , , , , , , , , , , ,*, , , , , , , , ,*, , , 
T1090, , , ,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
T1105, , , ,*, , , , ,*, , , , , , , , , , , , , ,*, , , , , , ,*, , , , , 
T1132, , , ,*, , , , ,*, , , , , , , , , , , , , ,*, , , , , , ,*, ,*, , , 
T1573, , , ,*, , , , ,*, , ,*, , , , , , , ,*, , ,*, , , , , , ,*, ,*, , , 
T1041, , , ,*, , , , ,*, , ,*, ,*, , , , , ,*,*,*,*,*, ,*, , , ,*, ,*, , , 
