,T1566,T1047,T1053,T1059,T1106,T1204,T1543,T1547,T1027,T1036,T1055,T1070,T1112,T1140,T1218,T1497,T1562,T1564,T1012,T1016,T1033,T1057,T1082,T1083,T1518,T1005,T1056,T1113,T1560,T1071,T1090,T1105,T1132,T1573,T1041
T1566,0,0,0,114.0,0,130.0,0,73.0,100.0,74.0,0,0,0,0,0,0,0,0,0,0,0,0,74.0,0,0,0,0,0,0,77.0,0,101.99999999999999,0,0,0
T1047,0,0,0,86.0,0,0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,0,0,0,73.0,0,0,0,0,0,0,0,0,0,0,0,0
T1053,0,0,0,125.0,0,0,0,0,110.0,81.0,0,78.0,0,0,0,0,0,0,0,0,0,0,88.0,0,0,0,0,0,0,101.99999999999999,0,108.0,0,0,0
T1059,0,0,0,0,0,0,0,0,277.0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.0,0,0,0,0,0,0,246.0,0,299.0,0,0,0
T1106,0,0,0,124.00000000000001,0,0,0,0,131.0,91.0,0,97.0,0,97.0,0,0,0,0,0,0,0,100.0,112.0,94.0,0,0,0,0,0,106.00000000000001,0,121.0,0,0,0
T1204,130.0,0,0,129.0,0,0,0,85.0,119.99999999999999,90.0,0,0,0,0,0,0,0,0,0,0,0,0,90.0,0,0,0,0,0,0,96.0,0,123.0,0,0,0
T1543,0,0,0,95.00000000000001,0,0,0,0,97.0,0,0,81.0,0,0,0,0,0,0,0,0,0,0,83.0,73.0,0,0,0,0,0,77.0,0,88.0,0,0,0
T1547,0,0,0,185.0,0,0,0,0,167.0,0,0,0,0,0,0,0,0,0,0,0,0,0,156.0,0,0,0,0,0,0,158.0,0,174.0,0,0,0
T1027,0,0,0,277.0,0,0,0,0,0,0,0,196.0,0,0,0,0,0,0,0,0,0,0,220.0,0,0,0,0,0,0,229.0,0,270.0,0,0,0
T1036,0,0,0,166.0,0,0,0,0,171.0,0,0,118.0,0,0,0,0,0,0,0,0,0,0,132.0,0,0,0,0,0,0,144.0,0,155.0,0,0,0
T1055,0,0,0,104.00000000000001,0,0,0,78.0,112.0,0,0,79.0,0,76.0,0,0,0,0,0,0,0,86.0,94.0,75.0,0,0,0,0,0,92.99999999999999,0,112.0,0,0,0
T1070,0,0,0,210.0,0,0,0,0,196.0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.0,156.0,0,0,0,0,0,170.0,0,192.0,0,0,0
T1112,0,0,0,104.00000000000001,0,0,0,0,99.0,0,0,76.0,0,0,0,0,0,0,0,0,0,0,88.0,75.0,0,0,0,0,0,80.0,0,96.0,0,0,0
