TechniqueID,TacticID
T1566,TA0001
T1047,TA0002
T1053,TA0002
T1059,TA0002
T1106,TA0002
T1204,TA0002
T1055,TA0004
T1543,TA0004
T1547,TA0004
T1027,TA0005
T1036,TA0005
T1070,TA0005
T1112,TA0005
T1140,TA0005
T1218,TA0005
T1497,TA0005
T1562,TA0005
T1564,TA0005
T1056,TA0006
T1012,TA0007
T1016,TA0007
T1033,TA0007
T1057,TA0007
T1082,TA0007
T1083,TA0007
T1518,TA0007
T1005,TA0009
T1113,TA0009
T1560,TA0009
T1041,TA0010
T1071,TA0011
T1090,TA0011
T1105,TA0011
T1132,TA0011
T1573,TA0011
