Id,T1566,T1047,T1053,T1059,T1106,T1204,T1543,T1547,T1027,T1036,T1055,T1070,T1112,T1140,T1218,T1497,T1562,T1564,T1012,T1016,T1033,T1057,T1082,T1083,T1518,T1005,T1056,T1113,T1560,T1071,T1090,T1105,T1132,T1573,T1041
T1566,0,0,0,0.820143885,0,0.935251799,0,0.525179856,0.71942446,0.532374101,0,0,0,0,0,0,0,0,0,0,0,0,0.532374101,0,0,0,0,0,0,0.553956835,0,0.73381295,0,0,0
T1047,0,0,0,0.834951456,0,0,0,0,0.708737864,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708737864,0,0,0,0,0,0,0,0,0,0,0,0
T1053,0,0,0,0.816993464,0,0,0,0,0.718954248,0.529411765,0,0.509803922,0,0,0,0,0,0,0,0,0,0,0.575163399,0,0,0,0,0,0,0.666666667,0,0.705882353,0,0,0
T1059,0,0,0,0,0,0,0,0,0.621076233,0,0,0,0,0,0,0,0,0,0,0,0,0,0.553811659,0,0,0,0,0,0,0.551569507,0,0.670403587,0,0,0
T1106,0,0,0,0.733727811,0,0,0,0,0.775147929,0.538461538,0,0.573964497,0,0.573964497,0,0,0,0,0,0,0,0.591715976,0.662721893,0.556213018,0,0,0,0,0,0.627218935,0,0.715976331,0,0,0
T1204,0.78313253,0,0,0.777108434,0,0,0,0.512048193,0.722891566,0.542168675,0,0,0,0,0,0,0,0,0,0,0,0,0.542168675,0,0,0,0,0,0,0.578313253,0,0.740963855,0,0,0
T1543,0,0,0,0.678571429,0,0,0,0,0.692857143,0,0,0.578571429,0,0,0,0,0,0,0,0,0,0,0.592857143,0.521428571,0,0,0,0,0,0.55,0,0.628571429,0,0,0
T1547,0,0,0,0.755102041,0,0,0,0,0.681632653,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636734694,0,0,0,0,0,0,0.644897959,0,0.710204082,0,0,0
T1027,0,0,0,0.72513089,0,0,0,0,0,0,0,0.513089005,0,0,0,0,0,0,0,0,0,0,0.57591623,0,0,0,0,0,0,0.59947644,0,0.706806283,0,0,0
T1036,0,0,0,0.72173913,0,0,0,0,0.743478261,0,0,0.513043478,0,0,0,0,0,0,0,0,0,0,0.573913043,0,0,0,0,0,0,0.626086957,0,0.673913043,0,0,0
T1055,0,0,0,0.712328767,0,0,0,0.534246575,0.767123288,0,0,0.54109589,0,0.520547945,0,0,0,0,0,0,0,0.589041096,0.643835616,0.51369863,0,0,0,0,0,0.636986301,0,0.767123288,0,0,0
T1070,0,0,0,0.755395683,0,0,0,0,0.705035971,0,0,0,0,0,0,0,0,0,0,0,0,0,0.647482014,0.561151079,0,0,0,0,0,0.611510791,0,0.690647482,0,0,0
T1112,0,0,0,0.737588652,0,0,0,0,0.70212766,0,0,0.539007092,0,0,0,0,0,0,0,0,0,0,0.624113475,0.531914894,0,0,0,0,0,0.567375887,0,0.680851064,0,0,0
