Id,T1566,T1047,T1053,T1059,T1106,T1204,T1543,T1547,T1027,T1036,T1055,T1070,T1112,T1140,T1218,T1497,T1562,T1564,T1012,T1016,T1033,T1057,T1082,T1083,T1518,T1005,T1056,T1113,T1560,T1071,T1090,T1105,T1132,T1573,T1041
T1566,0,0,0,0.185022026,0,0.255506608,0,0.004405286,0.123348018,0.008810573,0,0,0,0,0,0,0,0,0,0,0,0,0.008810573,0,0,0,0,0,0,0.022026432,0,0.13215859,0,0,0
T1047,0,0,0,0.061674009,0,0,0,0,0.004405286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004405286,0,0,0,0,0,0,0,0,0,0,0,0
T1053,0,0,0,0.233480176,0,0,0,0,0.167400881,0.039647577,0,0.026431718,0,0,0,0,0,0,0,0,0,0,0.070484581,0,0,0,0,0,0,0.13215859,0,0.158590308,0,0,0
T1059,0,0,0,0,0,0,0,0,0.9030837,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77092511,0,0,0,0,0,0,0.766519824,0,1,0,0,0
T1106,0,0,0,0.22907489,0,0,0,0,0.259911894,0.083700441,0,0.110132159,0,0.110132159,0,0,0,0,0,0,0,0.123348018,0.176211454,0.0969163,0,0,0,0,0,0.149779736,0,0.215859031,0,0,0
T1204,0.255506608,0,0,0.251101322,0,0,0,0.057268722,0.211453744,0.079295154,0,0,0,0,0,0,0,0,0,0,0,0,0.079295154,0,0,0,0,0,0,0.105726872,0,0.224669604,0,0,0
T1543,0,0,0,0.101321586,0,0,0,0,0.110132159,0,0,0.039647577,0,0,0,0,0,0,0,0,0,0,0.04845815,0.004405286,0,0,0,0,0,0.022026432,0,0.070484581,0,0,0
T1547,0,0,0,0.497797357,0,0,0,0,0.418502203,0,0,0,0,0,0,0,0,0,0,0,0,0,0.370044053,0,0,0,0,0,0,0.378854626,0,0.449339207,0,0,0
T1027,0,0,0,0.9030837,0,0,0,0,0,0,0,0.546255507,0,0,0,0,0,0,0,0,0,0,0.651982379,0,0,0,0,0,0,0.691629956,0,0.872246696,0,0,0
T1036,0,0,0,0.414096916,0,0,0,0,0.436123348,0,0,0.202643172,0,0,0,0,0,0,0,0,0,0,0.264317181,0,0,0,0,0,0,0.317180617,0,0.365638767,0,0,0
T1055,0,0,0,0.140969163,0,0,0,0.026431718,0.176211454,0,0,0.030837004,0,0.017621145,0,0,0,0,0,0,0,0.061674009,0.0969163,0.013215859,0,0,0,0,0,0.092511013,0,0.176211454,0,0,0
T1070,0,0,0,0.607929515,0,0,0,0,0.546255507,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475770925,0.370044053,0,0,0,0,0,0.431718062,0,0.528634361,0,0,0
T1112,0,0,0,0.140969163,0,0,0,0,0.118942731,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0.070484581,0.013215859,0,0,0,0,0,0.035242291,0,0.105726872,0,0,0
T1140,0,0,0,0.422907489,0,0,0,0,0.524229075,0,0,0,0,0,0,0,0,0,0,0,0,0,0.303964758,0,0,0,0,0,0,0.334801762,0,0.422907489,0,0,0
T1218,0,0,0,0.167400881,0,0,0,0.035242291,0.145374449,0,0,0.004405286,0,0,0,0,0,0,0,0,0,0,0.061674009,0,0,0,0,0,0,0.052863436,0,0.118942731,0,0,0
T1497,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004405286,0,0,0
T1562,0,0,0,0.035242291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1564,0,0,0,0.052863436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013215859,0,0,0
T1012,0,0,0,0.022026432,0,0,0,0,0.013215859,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017621145,0,0,0,0,0,0,0,0,0,0,0,0
T1016,0,0,0,0.400881057,0,0,0,0,0.36123348,0,0,0.211453744,0,0,0,0,0,0,0,0,0.22907489,0.242290749,0.502202643,0.233480176,0,0,0,0,0,0.321585903,0,0.40969163,0,0,0
T1033,0,0,0,0.321585903,0,0,0,0,0.22907489,0,0,0.162995595,0,0,0,0,0,0,0,0.22907489,0,0.158590308,0.414096916,0,0,0,0,0,0,0.290748899,0,0.352422907,0,0,0
T1057,0,0,0,0.45814978,0,0,0,0,0.40969163,0,0,0.273127753,0,0,0,0,0,0,0,0.242290749,0,0,0.488986784,0.387665198,0,0,0,0,0,0.343612335,0,0.414096916,0,0,0
T1082,0,0,0,0.77092511,0,0,0,0,0.651982379,0,0,0.475770925,0,0,0,0,0,0,0,0.502202643,0,0.488986784,0,0.546255507,0,0,0,0,0,0.594713656,0,0.779735683,0,0,0
T1083,0,0,0,0.528634361,0,0,0,0,0.436123348,0,0,0.370044053,0,0,0,0,0,0,0,0,0,0.387665198,0.546255507,0,0,0,0,0,0,0.431718062,0,0.515418502,0,0,0
T1518,0,0,0,0.0969163,0,0,0,0,0.088105727,0,0,0,0,0,0,0,0,0,0,0,0,0.008810573,0.136563877,0,0,0,0,0,0,0.030837004,0,0.114537445,0,0,0
T1005,0,0,0,0.273127753,0,0,0,0,0.167400881,0,0,0.105726872,0,0,0,0,0,0,0,0,0,0,0.171806167,0.18061674,0,0,0,0,0,0.198237885,0,0.273127753,0,0,0
T1056,0,0,0,0.162995595,0,0,0,0.04845815,0.092511013,0,0,0.04845815,0,0,0,0,0,0,0,0,0,0.044052863,0.114537445,0.070484581,0,0,0,0.052863436,0,0.083700441,0,0.136563877,0,0,0
T1113,0,0,0,0.127753304,0,0,0,0.017621145,0.070484581,0,0,0.026431718,0,0,0,0,0,0,0,0,0,0.044052863,0.105726872,0.079295154,0,0,0.052863436,0,0,0.070484581,0,0.136563877,0,0,0
T1560,0,0,0,0.044052863,0,0,0,0,0.035242291,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013215859,0.004405286,0,0,0,0,0,0.017621145,0,0.026431718,0,0,0
T1071,0,0,0,0.766519824,0,0,0,0,0.691629956,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594713656,0,0,0,0,0,0,0,0,0.797356828,0,0,0
T1090,0,0,0,0.004405286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
T1105,0,0,0,1,0,0,0,0,0.872246696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.779735683,0,0,0,0,0,0,0.797356828,0,0,0,0,0
T1132,0,0,0,0.079295154,0,0,0,0,0.008810573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.030837004,0,0,0,0,0,0,0.079295154,0,0.04845815,0,0,0
T1573,0,0,0,0.295154185,0,0,0,0,0.220264317,0,0,0.123348018,0,0,0,0,0,0,0,0.118942731,0,0,0.207048458,0,0,0,0,0,0,0.268722467,0,0.290748899,0,0,0
T1041,0,0,0,0.171806167,0,0,0,0,0.110132159,0,0,0.035242291,0,0.008810573,0,0,0,0,0,0.008810573,0.008810573,0.004405286,0.171806167,0.074889868,0,0.017621145,0,0,0,0.185022026,0,0.171806167,0,0,0
